date_time,channel,unit,temperature,humidity
2017/08/12 06:44,main,main,22.1,41
2017/08/12 06:44,1,1,22.2,48
2017/08/12 06:44,2,2,22.2,45
2017/08/12 06:44,3,322.0,47
2017/08/12 08:14,main,main,22.1,42
2017/08/12 08:14,1,1,22.1,49
2017/08/12 08:14,2,2,22.1,46
2017/08/12 08:14,3,3,21.9,48
2017/08/12 10:00,main,main,23.1,42
2017/08/12 10:00,1,1,23.3,49
2017/08/12 10:00,2,2,23.2,46
2017/08/12 10:00,3,3,22.9,49
2017/08/12 12:46,main,main,23.7,43
2017/08/12 12:46,1,1,23.8,51
2017/08/12 12:46,2,2,23.8,47
2017/08/12 12:46,3,3,23.6,49
2017/08/12 16:30,main,main,24.8,44
2017/08/12 16:30,1,1,24.8,51
2017/08/12 16:30,2,2,24.8,48
2017/08/12 16:30,3,3,24.5,50
2017/08/12 20:46,main,main,29.9,31
2017/08/12 20:46,1,1,29.8,36
2017/08/12 20:46,2,2,30.0,36
2017/08/12 20:46,3,3,29.1,38
