time,channel,unit,temperature,humidity
06:44,main,main,22.1,41
06:44,1,1,22.2,48
06:44,2,2,22.2,45
06:44,3,322.0,47
08:14,main,main,22.1,42
08:14,1,1,22.1,49
08:14,2,2,22.1,46
08:14,3,3,21.9,48
10:00,main,main,23.1,42
10:00,1,1,23.3,49
10:00,2,2,23.2,46
10:00,3,3,22.9,49
12:46,main,main,23.7,43
12:46,1,1,23.8,51
12:46,2,2,23.8,47
12:46,3,3,23.6,49
16:30,main,main,24.8,44
16:30,1,1,24.8,51
16:30,2,2,24.8,48
16:30,3,3,24.5,50
20:46,main,main,29.9,31
20:46,1,1,29.8,36
20:46,2,2,30.0,36
20:46,3,3,29.1,38
